exp,type,subtype,num,ref_dry,ref_wet,tar_dry,tar_wet,pred1,pred2,random_param
recording_env_vctk1,codec,libopus,2,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/libopus/libopus-hard-2-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/libopus/libopus-hard-2-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/libopus/libopus-hard-2-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/libopus/libopus-hard-2-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/libopus_hard-2-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/libopus_hard-2-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/libopus/libopus-moderate-2-wet_tar.wav
recording_env_vctk1,noise,add_noise_clap,4,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/add_noise_clap/add_noise_clap-hard-4-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/add_noise_clap/add_noise_clap-hard-4-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/add_noise_clap/add_noise_clap-hard-4-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/add_noise_clap/add_noise_clap-hard-4-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/add_noise_clap_hard-4-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/add_noise_clap_hard-4-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/add_noise_clap/add_noise_clap-moderate-4-wet_tar.wav
recording_env_vctk1,bandpass,bandpass_ladder,6,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandpass_ladder/bandpass_ladder-hard-6-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandpass_ladder/bandpass_ladder-hard-6-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandpass_ladder/bandpass_ladder-hard-6-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandpass_ladder/bandpass_ladder-hard-6-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/bandpass_ladder_hard-6-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/bandpass_ladder_hard-6-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/bandpass_ladder/bandpass_ladder-moderate-6-wet_tar.wav
recording_env_vctk1,bandreject,bandreject,8,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandreject/bandreject-hard-8-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandreject/bandreject-hard-8-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandreject/bandreject-hard-8-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bandreject/bandreject-hard-8-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/bandreject_hard-8-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/bandreject_hard-8-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/bandreject/bandreject-moderate-8-wet_tar.wav
recording_env_vctk1,bitcrush,bitcrush,10,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bitcrush/bitcrush-hard-10-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bitcrush/bitcrush-hard-10-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bitcrush/bitcrush-hard-10-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/bitcrush/bitcrush-hard-10-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/bitcrush_hard-10-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/bitcrush_hard-10-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/bitcrush/bitcrush-moderate-10-wet_tar.wav
recording_env_vctk1,modulation,flanger,12,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/flanger/flanger-hard-12-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/flanger/flanger-hard-12-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/flanger/flanger-hard-12-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/flanger/flanger-hard-12-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/flanger_hard-12-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/flanger_hard-12-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/flanger/flanger-moderate-12-wet_tar.wav
recording_env_vctk1,compressor,compressor,14,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/compressor/compressor-hard-14-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/compressor/compressor-hard-14-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/compressor/compressor-hard-14-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/compressor/compressor-hard-14-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/compressor_hard-14-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/compressor_hard-14-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/compressor/compressor-moderate-14-wet_tar.wav
recording_env_vctk1,delay,delay,16,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/delay/delay-hard-16-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/delay/delay-hard-16-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/delay/delay-hard-16-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/delay/delay-hard-16-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/delay_hard-16-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/delay_hard-16-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/delay/delay-moderate-16-wet_tar.wav
recording_env_vctk1,distortion,distortion,18,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/distortion/distortion-hard-18-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/distortion/distortion-hard-18-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/distortion/distortion-hard-18-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/distortion/distortion-hard-18-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/distortion_hard-18-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/distortion_hard-18-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/distortion/distortion-moderate-18-wet_tar.wav
recording_env_vctk1,clipping,soft_clipper,20,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/soft_clipper/soft_clipper-hard-20-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/soft_clipper/soft_clipper-hard-20-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/soft_clipper/soft_clipper-hard-20-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/soft_clipper/soft_clipper-hard-20-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/soft_clipper_hard-20-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/soft_clipper_hard-20-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/soft_clipper/soft_clipper-moderate-20-wet_tar.wav
recording_env_vctk1,highpass,highpass_ladder,22,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/highpass_ladder/highpass_ladder-hard-22-dry_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/highpass_ladder/highpass_ladder-hard-22-wet_ref.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/highpass_ladder/highpass_ladder-hard-22-dry_tar.wav,/ssd4/doyo/test_set_v2/single_effects_multi_env/vctk1/highpass_ladder/highpass_ladder-hard-22-wet_tar.wav,/ssd4/doyo/infer_forward_exp2-rec_env/single_recording_env/vctk1/highpass_ladder_hard-22-3pred.wav,/ssd4/doyo/infer_forward_exp2-rec_env/multiple_recording_env/vctk1/highpass_ladder_hard-22-3pred.wav,/ssd4/doyo/test_set_v2/single_effects_rand_param_2/vctk1/highpass_ladder/highpass_ladder-moderate-22-wet_tar.wav
